HourEnding,COAST,EAST,FWEST,NORTH,NCENT,SOUTH,SCENT,WEST,ERCOT
01/01/2018 01:00,11425.98,1852.66,2823.41,1135.36,18584.34,3831.65,9151.19,1762.47,50567.07
01/01/2018 02:00,11408.42,1850.17,2809.75,1136.63,18524.14,3988.27,9144.99,1754.72,50617.09
01/01/2018 03:00,11405.20,1858.27,2797.80,1135.93,18532.06,4076.09,9141.04,1747.92,50694.30
01/01/2018 04:00,11450.56,1879.62,2807.79,1146.07,18647.44,4154.94,9157.96,1755.20,50999.59
01/01/2018 05:00,11631.34,1876.48,2822.99,1154.19,19002.10,4247.45,9214.33,1774.85,51723.73
01/01/2018 06:00,11939.41,1903.01,2841.67,1182.43,19477.36,4389.05,9409.49,1813.22,52955.63
01/01/2018 07:00,12268.83,1961.79,2854.74,1212.75,19984.22,4512.57,9647.19,1860.98,54303.08
01/01/2018 08:00,12422.88,1996.43,2883.96,1241.48,20289.37,4601.52,9763.96,1899.66,55099.27
01/01/2018 09:00,12605.15,2012.83,2880.94,1243.86,20338.61,4709.23,9843.84,1919.42,55553.89
01/01/2018 10:00,12852.52,2008.72,2888.71,1244.10,20250.29,4898.25,9995.22,1932.58,56070.39
01/01/2018 11:00,12915.23,1956.00,2862.09,1217.57,19996.93,5017.00,10061.27,1922.83,55948.92
01/01/2018 12:00,12898.77,1891.07,2833.66,1184.26,19485.20,5090.21,9997.85,1896.72,55277.73
01/01/2018 13:00,12799.62,1815.91,2783.86,1134.71,18761.46,5100.90,9841.93,1859.40,54097.80
01/01/2018 14:00,12561.39,1739.01,2726.05,1083.39,17929.19,5083.49,9699.13,1816.43,52638.08
01/01/2018 15:00,12276.08,1691.23,2677.41,1050.48,17300.43,5100.08,9579.30,1773.20,51448.20
01/01/2018 16:00,12013.03,1683.75,2641.89,1035.01,17035.04,5101.78,9530.98,1748.16,50789.64
01/01/2018 17:00,12163.41,1740.98,2641.47,1046.39,17279.86,5127.03,9602.77,1750.39,51352.32
01/01/2018 18:00,12904.77,1882.02,2704.64,1108.09,18599.94,5238.73,9969.08,1804.74,54212.00
01/01/2018 19:00,13557.38,1987.77,2857.67,1158.52,19778.25,5451.47,10332.28,1881.12,57004.48
01/01/2018 20:00,13638.32,2012.17,2893.80,1164.42,19960.20,5484.95,10259.67,1883.87,57297.40
01/01/2018 21:00,13662.92,2027.70,2900.22,1165.08,20001.50,5479.91,10139.78,1869.85,57246.96
01/01/2018 22:00,13500.73,2009.95,2881.12,1153.71,19719.39,5395.65,9841.96,1836.80,56339.31
01/01/2018 23:00,13104.63,1945.96,2831.64,1122.27,18993.50,5250.64,9373.66,1779.75,54402.04
01/01/2018 24:00,12677.63,1893.64,2773.98,1101.11,18346.96,5072.79,8960.33,1724.36,52550.80
01/02/2018 01:00,12954.54,1877.85,2908.41,1109.40,18245.55,5105.51,7348.84,1630.07,51180.17
01/02/2018 02:00,12762.33,1863.55,2896.25,1112.72,18041.58,5011.84,7172.20,1632.21,50492.67
01/02/2018 03:00,12672.32,1870.35,2903.21,1121.27,17954.64,4964.11,7093.98,1640.71,50220.58
01/02/2018 04:00,12720.79,1884.48,2914.42,1129.76,17999.01,4951.62,7115.69,1660.43,50376.20
01/02/2018 05:00,12982.67,1923.42,2931.03,1146.11,18313.72,4972.13,7280.40,1696.70,51246.18
01/02/2018 06:00,13540.02,2006.80,2974.96,1186.32,19110.14,5129.00,7655.65,1756.40,53359.29
01/02/2018 07:00,14259.42,2114.64,3034.23,1242.55,20146.48,5378.29,8150.99,1849.02,56175.63
01/02/2018 08:00,14662.85,2187.38,3072.45,1280.04,20703.41,5512.89,8469.28,1916.99,57805.27
01/02/2018 09:00,14847.38,2235.56,3040.62,1297.94,20821.65,5606.69,8577.66,1920.04,58347.54
01/02/2018 10:00,15078.54,2254.58,3034.99,1303.39,20987.82,5695.72,8691.77,1930.07,58976.88
01/02/2018 11:00,15249.14,2190.93,3030.59,1295.13,20975.02,5739.27,8765.60,1924.07,59169.75
01/02/2018 12:00,15162.50,2152.01,2996.40,1274.25,20799.50,5711.04,8733.73,1898.65,58728.07
01/02/2018 13:00,14982.16,2157.80,2946.62,1241.67,20494.03,5621.87,8632.56,1866.74,57943.44
01/02/2018 14:00,14868.70,2125.45,2921.38,1203.33,20298.20,5543.70,8537.78,1843.34,57341.89
01/02/2018 15:00,14784.34,2085.83,2897.57,1186.08,20172.90,5527.97,8497.12,1826.63,56978.44
01/02/2018 16:00,14708.81,2107.65,2835.93,1179.92,20255.11,5538.81,8585.93,1818.63,57030.79
01/02/2018 17:00,14844.78,2126.90,2809.17,1174.96,20683.04,5616.72,8819.10,1810.78,57885.46
01/02/2018 18:00,15397.70,2222.17,2859.86,1220.23,21580.65,5785.47,9271.57,1846.10,60183.75
01/02/2018 19:00,15655.35,2274.21,3003.97,1264.50,22168.94,6034.88,9616.56,1930.27,61948.68
01/02/2018 20:00,15562.07,2258.65,3044.37,1264.40,22015.78,6093.73,9593.22,1949.40,61781.61
01/02/2018 21:00,15390.07,2229.26,3054.22,1255.74,21687.86,6082.71,9477.47,1948.08,61125.41
01/02/2018 22:00,15016.04,2186.81,3025.22,1226.15,21024.75,5989.84,9172.01,1908.32,59549.12
01/02/2018 23:00,14447.10,2087.45,2976.39,1185.46,19962.69,5792.93,8685.52,1847.18,56984.71
01/02/2018 24:00,13951.71,2015.03,2931.94,1153.91,19261.95,5582.65,8288.25,1805.31,54990.74
01/03/2018 01:00,13364.63,1946.17,2802.05,1128.88,18582.42,5174.95,9223.09,1709.98,53932.18
01/03/2018 02:00,13252.10,1947.37,2795.70,1134.41,18565.35,5070.56,9222.85,1718.09,53706.43
01/03/2018 03:00,13279.98,1965.86,2793.54,1141.88,18644.44,5014.42,9334.71,1732.34,53907.18
01/03/2018 04:00,13472.32,1990.37,2798.28,1157.67,18910.17,4995.49,9545.05,1758.09,54627.45
01/03/2018 05:00,13825.13,2041.12,2795.13,1179.23,19421.48,5045.65,9834.08,1785.71,55927.54
01/03/2018 06:00,14475.48,2145.64,2829.54,1220.01,20388.89,5230.92,10366.64,1843.26,58500.39
01/03/2018 07:00,15273.28,2274.35,2882.05,1278.31,21632.70,5526.79,11053.51,1934.52,61855.52
01/03/2018 08:00,15424.46,2311.38,2921.16,1297.64,22017.34,5610.30,11343.26,1964.43,62889.97
01/03/2018 09:00,15230.10,2251.32,2881.24,1270.46,21367.33,5544.42,10917.55,1889.43,61351.86
01/03/2018 10:00,14963.35,2161.63,2808.12,1206.24,20090.37,5368.27,10230.36,1777.20,58605.55
01/03/2018 11:00,14573.73,2060.18,2724.92,1145.48,18873.44,5118.12,9423.06,1654.38,55573.31
01/03/2018 12:00,14060.99,1931.57,2644.96,1086.55,17650.36,4825.43,8626.89,1538.64,52365.40
01/03/2018 13:00,13531.92,1762.17,2554.93,1016.32,16559.56,4512.65,7897.00,1438.58,49273.12
01/03/2018 14:00,13064.39,1665.62,2506.00,969.33,15636.94,4234.78,7349.80,1358.57,46785.44
01/03/2018 15:00,12602.43,1594.48,2460.01,926.72,14830.67,3984.36,6897.85,1298.54,44595.06
01/03/2018 16:00,12263.35,1549.72,2438.52,902.67,14360.17,3802.84,6656.33,1267.57,43241.16
01/03/2018 17:00,12139.26,1626.02,2418.93,914.58,14406.44,3740.21,6651.08,1267.99,43164.50
01/03/2018 18:00,12738.87,1726.24,2456.02,968.94,15480.28,3923.00,7100.58,1335.63,45729.57
01/03/2018 19:00,13509.13,1866.24,2606.92,1041.55,16745.59,4372.91,7934.45,1467.28,49544.06
01/03/2018 20:00,13721.03,1934.79,2673.51,1052.62,17102.15,4585.55,8126.02,1512.15,50707.82
01/03/2018 21:00,13789.67,1967.63,2719.58,1054.94,17268.62,4753.70,8299.96,1544.08,51398.18
01/03/2018 22:00,13647.12,1956.69,2715.55,1042.30,17095.76,4844.83,8253.80,1532.59,51088.65
01/03/2018 23:00,13214.01,1893.82,2669.13,1011.29,16464.87,4787.77,7971.18,1492.03,49504.11
01/03/2018 24:00,12810.95,1855.41,2637.95,987.95,15926.69,4677.68,7736.42,1463.81,48096.87
01/04/2018 01:00,12488.38,1818.65,2632.46,980.84,15670.63,4663.92,7621.82,1455.58,47332.28
01/04/2018 02:00,12394.10,1818.57,2617.23,985.08,15671.03,4643.87,7641.84,1461.10,47232.81
01/04/2018 03:00,12406.29,1832.38,2614.85,992.75,15782.13,4655.97,7748.83,1470.46,47503.65
01/04/2018 04:00,12536.75,1861.49,2629.80,1008.69,16059.87,4701.25,7926.38,1498.20,48222.42
01/04/2018 05:00,12854.36,1919.61,2637.79,1033.07,16668.21,4800.05,8225.79,1532.03,49670.90
01/04/2018 06:00,13514.09,2009.69,2685.43,1080.26,17652.87,5022.79,8774.48,1602.00,52341.61
01/04/2018 07:00,14283.42,2138.24,2748.27,1144.81,19037.87,5356.65,9518.42,1707.32,55935.00
01/04/2018 08:00,14482.31,2169.90,2796.55,1170.14,19569.62,5469.23,9744.51,1760.88,57163.14
01/04/2018 09:00,14198.62,2141.48,2777.69,1146.22,18885.20,5269.68,9335.92,1722.46,55477.27
01/04/2018 10:00,13712.36,2010.82,2760.63,1092.52,17699.02,4859.77,8573.56,1628.23,52336.90
01/04/2018 11:00,13193.59,1878.75,2734.53,1038.94,16594.56,4391.60,7785.38,1515.03,49132.37
01/04/2018 12:00,12632.00,1766.36,2706.39,991.72,15648.48,3960.02,7246.38,1422.70,46374.03
01/04/2018 13:00,12112.41,1655.53,2649.36,946.82,14836.67,3627.54,6772.27,1342.52,43943.13
01/04/2018 14:00,11698.89,1592.49,2630.85,914.01,14135.23,3390.16,6519.70,1299.39,42180.74
01/04/2018 15:00,11322.68,1516.68,2624.57,888.06,13528.90,3217.35,6435.72,1271.40,40805.37
01/04/2018 16:00,11164.38,1496.11,2616.69,881.56,13353.29,3131.61,6467.27,1270.27,40381.18
01/04/2018 17:00,11227.14,1535.57,2627.61,898.74,13790.56,3135.63,6630.79,1295.71,41141.73
01/04/2018 18:00,11820.05,1637.10,2641.22,952.21,14876.41,3276.67,7097.66,1346.43,43647.74
01/04/2018 19:00,12357.34,1738.52,2726.85,1002.01,15799.70,3605.63,7600.10,1413.10,46243.25
01/04/2018 20:00,12381.96,1768.75,2738.16,1017.78,16021.24,3734.85,7633.85,1420.10,46716.69
01/04/2018 21:00,12307.70,1752.14,2734.91,1025.62,16101.42,3812.49,7540.51,1418.15,46692.94
01/04/2018 22:00,11952.60,1760.95,2686.68,1003.90,15779.10,3812.18,7266.25,1378.52,45640.18
01/04/2018 23:00,11446.65,1682.90,2627.82,970.10,15079.42,3725.69,6798.62,1318.65,43649.86
01/04/2018 24:00,11031.71,1626.89,2578.56,938.51,14373.36,3596.19,6412.29,1266.13,41823.64
01/05/2018 01:00,10736.90,1611.81,2564.50,912.87,13927.10,3489.86,6132.86,1219.40,40595.30
01/05/2018 02:00,10560.91,1619.97,2549.75,914.00,13819.30,3431.79,6020.71,1216.41,40132.84
01/05/2018 03:00,10491.06,1596.11,2550.38,923.10,13901.16,3436.72,5983.72,1220.66,40102.91
01/05/2018 04:00,10545.45,1635.18,2566.80,937.06,14171.34,3465.10,6038.01,1240.98,40599.95
01/05/2018 05:00,10784.47,1676.49,2598.72,964.63,14725.91,3537.01,6224.65,1275.35,41787.24
01/05/2018 06:00,11357.06,1767.21,2660.09,1016.73,15713.07,3716.27,6691.98,1343.55,44265.95
